cluster,Rent (USD),Groceries (USD),Eating Out (USD),Entertainment (USD),Subscription Services (USD),Education (USD),Online Shopping (USD),Travel (USD),Fitness (USD),Miscellaneous (USD),total_expense,savings_rate,expense_to_income_ratio,discretionary_vs_fixed_ratio
0,766.0720461095101,334.01729106628244,285.1123919308357,206.4265129682997,56.069164265129686,513.8876080691642,407.19884726224785,1404.6772334293948,152.7521613832853,214.0835734870317,4340.296829971182,0.3244553312707671,1.0036253915481783,1.7916533231431646
1,1417.1171328671328,385.22202797202794,266.65909090909093,213.5402097902098,54.14685314685315,1369.9055944055945,352.0681818181818,1208.423076923077,159.80769230769232,224.5034965034965,5651.393356643357,0.2784453107183445,1.1157453075191979,0.8116263890567278
2,1266.024647887324,370.3274647887324,284.92605633802816,225.79577464788733,56.86619718309859,1191.3274647887324,393.03169014084506,1061.9612676056338,169.30633802816902,202.58802816901408,5222.154929577465,0.839194483596318,2.3285716313305715,0.8933942494104766
3,1063.5855130784707,333.4164989939638,261.80080482897387,196.3963782696177,57.21730382293762,838.1991951710262,327.22334004024145,500.78269617706235,154.67203219315894,190.31187122736418,3923.605633802817,0.3364683851574006,0.877803246296312,0.8068445972836726
